HotelName,AddressLocality,AddressLocality,PostalCode,Other,Other,HotelDescription
Quality Inn,Santa Fe,3011 Cerrillos Rd.,87507.0,35.654807,-105.994123,"The Quality Inn® hotel is ideally located off of Interstate 25, just minutes from historic downtown Santa Fe and the Santa Fe Municipal Airport. This Santa Fe hotel is also near many local points of interest like the College of Santa Fe, Loretto Chapel, the Georgia O'Keeffe Museum, El Rancho de Las Golondrinas and the Santa Fe Southern Railway.</p"
Trail Motel,Truth or Consequences,619 Date St,87901.0,33.1365371,-107.250592,
Ramada Limited Albuquerque Airport,Albuquerque,1801 Yale Blvd SE,87106.0,35.062233,-106.622093,"The Ramada Limited Albuquerque Airport serves the greater Albuquerque area, including Bernallilo, Santa Fe, Taos, Los Alamos, Belen, and Rio Rancho. This Ramada hotel is ideally located one mile north of Albuquerque International Airport and one mile south of the campus of the University of New Mexico. The Ramada hotel is just 1 mile east of I-25, offering easy access for north/south travel and intersects I-40 for access to Texas and Arizona. - Our location is close to other attractions, as well. We are only 4 miles from downtown Albuquerque and the Albuquerque Convention Center, and 5 miles from Old Town Albuquerque with its famous plaza, and the beautiful, historic church of San Felipe de Neri. The name Albuquerque has become forever entwined with the sport of hot-air ballooning. The Albuquerque International Balloon Festival is just 11 miles from the hotel, and occurs every October. The Gathering of Nations Pow Wow is within an easy walk of the hotel and occurs in late April. This event is the largest gathering of Native Americans in North America. - This Ramada hotel is not just about location, however. We are proud of our award-winning customer service and proudly offer the Ramada Signature"
Trinity Hotel 1892,Carlsbad,201 S Canal,,32.4189846786,-104.229237575,
Holiday Inn Express Hotel & Suites - Albuquerque-Airport,Albuquerque,2331 Centre Ave Se,87106.0,35.059856,-106.61975,"Welcome to New Mexico, the land of enchantment. The place to stay in Albuquerque is the Holiday Inn Express Albuquerque-Airport Hotel. We are conveniently located near the Albuquerque Airport and a mile from Kirtland Air Force base and the University of New Mexico and all that Albuquerque has to offer. Hotel features include complimentary hot breakfast and free wireless high-speed internet and free local phone calls. </p"
Days Inn - Taos,Taos,1333 Paseo Del Pueblo,87571.0,36.4087,-105.5734,
Hampton Inn - Tucumcari,Tucumcari,3409 E. Tucumcari Blvd.,88401.0,35.1717937893,-103.68247534,"The Hampton Inn Tucumcari hotel is located in the heart of historical Tucumcari, within walking distance of the area’s most popular attractions. Get in touch with history at the Tucumcari Historical Museum or discover the desert tours and fishing in nearby Ute Lake. Stay in this spacious Tucumcari hotel and enjoy modern and attractive guest rooms, all of which include free high-speed internet access and a clean and fresh Hampton bed®.</p"
Best Western Jicarilla Inn and Casino,Dulce,13603 US Highway 64,87528.0,36.9351448991,-106.987470038,"Pronounced Hick-ah-REE-ya, the Best Western Jicarilla Inn and Casino is located on the Jicarilla Apache Reservation in the beautiful Rocky Mountains, surrounded by fabulous scenery, streams, mountains, lakes, fishing, hunting and hiking.</p"
Hampton Inn - Albuquerque-North,Albuquerque,5101 Ellison,87109.0,35.160837,-106.589231,TH
Hampton Inn & Suites Hobbs,Hobbs,5420 Lovington Highway,88242.0,32.7606748,-103.1808027,
Quality Inn & Suites,Gallup,1500 W. Maloney Ave.,87301.0,35.5279049704,-108.764918886,"The Quality Inn & Suites™ hotel is located in the downtown business area in the heart of Gallup. The University of New Mexico-Gallup, Red Rock State Park, the Gallup Municipal Airport, El Morro Theatre, the Red Rock Museum and the Rex Museum are minutes from this Gallup hotel.</p"
Holiday Classic Motel,Raton,473 Clayton Rd.,87740.0,36.8849452,-104.4347279,
Best Western Sands,Raton,300 Clayton Road,87740.0,36.88505,-104.437444,MO
Econo Lodge,Eagle Nest,715 Hwy 64 E,87718.0,36.5528282543,-105.255827887,"The Econo Lodge® hotel is ideally situated, providing easy access to many local points of interest including the Sangre de Cristo Mountains and Carson National Forest. This Eagle Nest hotel is only minutes from the Angel Fire ski area, Wheeler Peak and Eagle Nest Lake State Park.</p"
Econo Lodge,Santa Fe,3470 Cerrillos Road,87507.0,35.6464180316,-106.00536921,"The Econo Lodge® hotel is ideally located just three miles from the historic Santa Fe Plaza and the College of Santa Fe. Area attractions, like the Museum of New Mexico, the Santa Fe Opera and the Santa Fe ski basin, are near this Santa Fe hotel. The Santa Fe Municipal Airport is only two miles away. </p"
Best Western Discovery Inn,Tucumcari,200 East Estrella,88401.0,35.153263,-103.724731,TH
Sunterra Villas De Santa Fe,Santa Fe,400 Griffin Street,87501.0,35.692366,-105.943208,ON
Quality Inn,Raton,533 Clayton Rd.,87740.0,36.8849045535,-104.433473953,"The Quality Inn® hotel in Raton, New Mexico is located minutes from the Santa Fe Trail Scenic Byway, Shuler Theater, Sugarite Canyon State Park, the NRA Whittington Center, Capulin Volcano National Monument and Philmont Scout Ranch.</p"
Sitzmark Chalet Motel,Ruidoso,627 Sudderth Drive,88345.0,33.3233883,-105.6464314,Ou
Rio Grande Motel,Williamsburg,720 Broadway,87942.0,33.1139207,-107.2981516,
Econo Lodge,Silver City,1120 Hwy 180 E,88061.0,32.78336,-108.263783,"Newly renovated interior corridor hotel. All rooms and common areas have been renovated. Complimentary HOT breakfast is served daily in our brand new breakfast area. Hotel also features Free High speed internet, indoor heated pool and spa, refrigerator and microwave in every room, and brand new fitness center with commercial grade equipment."
Econo Lodge,Tucumcari,3400 E. Tucumcari Blvd.,88401.0,35.171904715,-103.684112187,"Conveniently located off historic Route 66 with easy access to Interstate 40, the Econo Lodge® hotel is four miles from Mesalands Community College.</p"
Quality Inn,Tucumcari,3716 E. Tucumcari Blvd,88401.0,35.1719011348,-103.681365268,"The Quality Inn® hotel is conveniently located just two miles from the Tucumcari Historical Museum. This Tucumcari, NM hotel is minutes from the Dinosaur Museum at Mesalands Community College, the Tucumcari Municipal Golf Course and Ute Lake State Park. The Tucumcari Municipal Airport is five miles away.</p"
Pye Cabin,Chloride,Wall Street,87935.0,33.3385041,-107.6752587,
Best Western,Grants,1501 E Sante Fe Avenue,87020.0,35.132947,-107.82766,"Welcome to the Best Western Grants Inn conveniently located just off I-40 on the east end of Grants, New Mexico. Our pet-friendly setting offers affordable accommodations with easy access to all of our area's major attractions, including Coyote Del Malpais Golf Course, the New Mexico Mining Museum, and plenty of shopping and dining options."
Days Inn Grants,Grants,"1504 East Santa Fe Avenue, I-40 at Exit 85",87020.0,35.1308055723,-107.8269370974,"Conveniently located off I-40, our Days Inn Grants hotel near El Morro National Monument is the perfect place to get away from it all. Book a room at our convenient location to get great value, helping you make the most of your next trip to sunny New Mexico."
Quality Inn,Moriarty,119 Route 66 East,87035.0,35.0050739126,-106.044188909,"The Comfort Inn® hotel is conveniently located on historic Route 66, just one mile from the Moriarty Civic Center. This Moriarty hotel is close to the Moriarty Airport, the Wildlife West Nature Park, the Moriarty Motocross Track and McCall's Pumpkin Patch.</p"
Comfort Suites,Hobbs,2708 West Scenic Drive,88240.0,32.7508140266,-103.170973284,"Brand new all suites hotel located across Zia Park race track and Black Gold Casino. 100% Smoke free hotel. Hotel features complimentary HOT breakfast buffet, wired and wireless high speed internet, indoor heated pool, fitness center with all commercial grade equipment, all rooms are suites with separate sitting area and much more."
Canyon Creek Lodge,Ruidoso,900 Carrizo Canyon Rd.,88355.0,33.308867,-105.6699921,"Welcome to Canyon Creek Lodge in beautiful Ruidoso, New Mexico. We are located on Carrizo Canyon Road just 1.4 miles north of the Inn of the Mountain Gods and two miles south of midtown Ruidoso, quietly nestled just inches away from the Lincoln National Forest.</p"
Days Inn - Roswell,Roswell,1310 North Main,88201.0,33.407114,-104.523063,
Budget Inn - Artesia,Artesia,922 South 1st Street,,32.832994,-104.397021,
