HotelName,AddressLocality,AddressLocality,LocationFeatureSpecification,LocationFeatureSpecification
Royal Grand,Tambaram,"# 6 / 14, V V S Iyer Street, Ganapathypuram Tambaram East",12.9217997,80.1156998
Rental Apartment Belle Plage 4,Port Leucate,"Belle Plage, Claira",42.8661919,3.0456307
Apartment Petit Bois,,,43.3759995,-1.661
Apartment Les Jardins de l'Eden,,,45.6306992,-1.0470001
OYO 6356 Joka,South Suburban,"Plot No. 41, Near Genexx Valley, Opposite Joka Tram Depot, Diamond Harbour Road",22.4493008,88.3010025
OYO 14029 Hotel Yogesh,Baddi,"First floor, above SBI bank, SAI Road, Parwanoo",30.9294662,76.7971268
Mona Lisa,Leh,Changspa Road Near Prayer Wheel,34.1673012,77.5789032
OYO 14072 Home Luxury Cottage Old Manali,Manāli,"Orson's Cottage, Village Shahnag, Old Manali Road",32.2867012,77.1764984
Villa Les Passiflorines,,,43.1459007,6.3656998
OYO 13730 hotel balram,Noida,"C-5, Hotel balram sector 51 Noida. Opposite sector 51 metro station",28.5806999,77.3666
Shagun Hotel,Igatpuri,Mumbai - Nashik Expressway Mumbai nashik Highway ghoti igatpuri,19.6037998,73.3973999
Cyrano 150S,,,43.6362,6.7031002
Holiday Home Le vieil amandier,,,44.0101013,5.0966001
OYO 13314 Grand Almada Inn,Lucknow,"Grand Almada Inn, Bagh no 3 natioanal highway vijay nagar colony krishna nagar , Opposite Sunny Toyota Showroom, Kanpur road, near Amousiairport",26.7691002,80.8770981
